t,air,ln_air,d_ln_air
1949-01-01,112,4.7184987,
1949-02-01,118,4.7706847,0.052186012
1949-03-01,132,4.882802,0.11211729
1949-04-01,129,4.8598123,-0.02298975
1949-05-01,121,4.7957907,-0.06402159
1949-06-01,135,4.905275,0.109484196
1949-07-01,148,4.9972124,0.09193754
1949-08-01,148,4.9972124,0.0
1949-09-01,136,4.912655,-0.08455753
1949-10-01,119,4.7791233,-0.13353157
1949-11-01,104,4.644391,-0.13473225
1949-12-01,118,4.7706847,0.12629366
1950-01-01,115,4.744932,-0.025752544
1950-02-01,126,4.836282,0.0913496
1950-03-01,141,4.94876,0.112478256
1950-04-01,135,4.905275,-0.043485165
1950-05-01,125,4.828314,-0.07696104
1950-06-01,149,5.0039463,0.17563248
1950-07-01,170,5.1357985,0.13185215
1950-08-01,170,5.1357985,0.0
1950-09-01,158,5.062595,-0.07320356
1950-10-01,133,4.890349,-0.17224598
1950-11-01,114,4.7361984,-0.15415049
1950-12-01,140,4.9416423,0.20544386
1951-01-01,145,4.9767337,0.0350914
1951-02-01,150,5.0106354,0.03390169
1951-03-01,178,5.1817837,0.1711483
1951-04-01,163,5.09375,-0.088033676
1951-05-01,172,5.1474943,0.053744316
1951-06-01,178,5.1817837,0.03428936
1951-07-01,199,5.293305,0.111521244
1951-08-01,199,5.293305,0.0
1951-09-01,184,5.214936,-0.07836914
1951-10-01,162,5.0875964,-0.12733936
1951-11-01,146,4.983607,-0.1039896
1951-12-01,166,5.1119876,0.12838078
1952-01-01,171,5.1416636,0.02967596
1952-02-01,180,5.192957,0.051293373
1952-03-01,193,5.26269,0.06973314
1952-04-01,181,5.198497,-0.06419325
1952-05-01,183,5.209486,0.010989189
1952-06-01,218,5.3844953,0.17500925
1952-07-01,230,5.4380794,0.0535841
1952-08-01,242,5.488938,0.050858498
1952-09-01,209,5.3423343,-0.14660358
1952-10-01,191,5.2522736,-0.09006071
1952-11-01,172,5.1474943,-0.10477924
1952-12-01,194,5.267858,0.12036371
1953-01-01,196,5.278115,0.010256767
1953-02-01,196,5.278115,0.0
